"No.|Date|Genre|Bibl|ContextBefore|Hit|ContextAfter"
"1756|2003-07-03|Zeitung|Berliner Zeitung, 03.07.2003|Die Extremisten im Kosovo halten an ihrer Politik des Aussitzens fest, sagt der Kosovo-Beauftragte Michael Steiner.|Kurz bevor er sein Amt aufgibt, zieht Steiner eine gemischte Bilanz seiner Arbeit."
"1757|2003-07-03|Zeitung|Berliner Zeitung, 03.07.2003|Politik, heißt es in der Theorie, ist die Kunst des Machbaren.|Für Politiker gilt diese Definition allerdings nur bedingt."
"1758|2003-07-03|Zeitung|Berliner Zeitung, 03.07.2003|Die Opern waren am Ende fast ebenso vernachlässigt wie die Finanzpolitik der Stadt, und um ein Zeichen für deren Reformfähigkeit zu setzen, sollte eines der Häuser geschlossen werden - seht her, Berlin bringt ein Opfer für die Gesundung seiner Finanzen.|Das Drohen, Erpressen, auch die an Strukturen interessierte Politik des Kultursenators Flierl haben etwas erreicht:|Endlich einmal geht es nicht so weiter wie bisher."
"1759|2003-07-03|Zeitung|Berliner Zeitung, 03.07.2003|Nicht um die Universitäten, verrückterweise, nicht um die vernachlässigte freie oder experimentelle Szene kreiste die Debatte, sondern um die so luxuriöse wie aufregende Gattung Oper mit ihrem ewigen Widerspruch zwischen Vergangenheitsseligkeit und Gegenwartsverwandlung.|Die Schließung eines Opernhauses in Berlin hätte unsere Vorstellung von der Stadt verändert, und die Vorstellung von den Pflichten der Politik dazu.|Sie wäre ein Tabubruch gewesen, der den Verteilungskampf an vielen Orten der Republik zu Lasten der Kultur entschieden hätte."
"1760|2003-07-03|Zeitung|Berliner Zeitung, 03.07.2003|Berlins Schulsenator Klaus Böger (SPD) plädiert im Kampf gegen die Gewalt an Schulen für mehr Prävention.|Was kann die Politik gegen Gewalt an Schulen tun?|Das Wichtigste ist, dass in den Schulen nicht weggeschaut wird - von allen Beteiligten."
"1761|2003-07-03|Zeitung|Berliner Zeitung, 03.07.2003|Wir dürfen im Labyrinth der Großstadt nicht die Kontrolle und die Sanktionsmöglichkeiten gegenüber gewalttätigen Jugendlichen verlieren.|Tut die Politik genug gegen die Gewalt an Schulen?|Prävention hat leider nicht immer die nötige Aufmerksamkeit im politischen Raum."
"1762|2003-07-03|Zeitung|Berliner Zeitung, 03.07.2003|So groß war die Feindschaft, und auch die Freiheit, dann wohl doch nicht.|Heute, setzte der Autor Georg Klein die Allegorie fort, müsse man sich die Literatur als hilfloses Schoßhündchen vorstellen, die Macht aber als ein Leittier, das nicht mehr die Politik verkörpere, sondern die Medien.|Und der kleine Hund trotte dem großen traulich hinterher."
"1763|2003-07-03|Zeitung|Berliner Zeitung, 03.07.2003|Wie in militärischen Angelegenheiten pflegt US-Präsident George W. Bush auch in wirtschaftlichen Fragen eine Politik der drastischen Maßnahmen.|Wie die Film-Figur ""Terminator"", dargestellt von Arnold Schwarzenegger, geht er durch die Wand, wo es keine Tür gibt."
"1764|2003-07-03|Zeitung|Berliner Zeitung, 03.07.2003|Mit Schulsportkampagnen, mit Zwang zum zügigen Jogging?|Mit einem tief greifenden Bewusstseinswandel, der von der Politik auf das Land auf die Couch Potatoes übergreift?|Ach was, alles falsche Ansätze."
"1765|2003-07-03|Zeitung|Berliner Zeitung, 03.07.2003|Während er tapfer mit den Widrigkeiten des Managerdaseins kämpft, verliebt er sich abwechselnd in die trendige Bassistin der Band sowie in das in Teenie-Selbstfindungskomödien unvermeidliche untrendige Nachbarsmädchen, welches jedoch anders als die Bassistin das Herz am rechten Flecke trägt.|Das Nachbarsmädchen kommt ja auch nicht aus reichem Hause, sondern hilft seiner schwer kranken Mutter im Tierfutterladen - deswegen interessiert es sich auch für Politik und protestiert gegen den Nato-Doppelbeschluss.|Die Geschichte ist vorhersehbar und öde; wirklich ärgerlich ist der Film aber, weil seine ""Ein Mann will nach oben"" -Geschichte gerade das nivelliert, was an der New-Wave-Jugendkultur charakteristisch und interessant gewesen ist: dass man einen kurzen historischen Moment eben nicht mehr ""nach oben"" wollte, sondern lieber sein ""eigenes Ding"" machte."
"1766|2003-07-04|Zeitung|Berliner Zeitung, 04.07.2003|BERLIN, 3. Juli.|Führende deutsche Ökonomen haben die Politik aufgefordert, beim geplanten Abbau von Subventionen auch die Sonderhilfen für Ostdeutschland nicht auszusparen.|Der Präsident des Deutschen Instituts für Wirtschaftsforschung (DIW), Klaus F. Zimmermann, sagte der Berliner Zeitung, er sei dafür, ""die spezielle Förderung für den Osten allmählich zurückzufahren""."
"1767|2003-07-04|Zeitung|Berliner Zeitung, 04.07.2003|Sollte die Suche nach Öl von seiner Sibneft-Firma erfolgreich sein, dürfte der Gouverneur die Investitionen mit Zinseszins zurückbekommen.|Abramowitsch liebt nicht nur Geschäft und Politik sondern auch den Sport.Seit Jahren ist er Hauptgeldgeber von Avantgarde Omsk, einem führenden russischen Eishockey-Club.|Sein Appetit ist damit freilich nicht gestillt."
"1768|2003-07-04|Zeitung|Berliner Zeitung, 04.07.2003|Es war nicht das erste Mal, dass Silvio Berlusconi verbal ausgeglitten ist.|Lang ist die Liste der Entgleisungen, die den Weg des Unternehmers durch die Politik begleiten.|Nicht immer dringt die Nachricht davon über die Grenzen, meist beschränkt sich der Effekt auf höhnische Kleinkommentare."
"1769|2003-07-04|Zeitung|Berliner Zeitung, 04.07.2003|Die Hilflosigkeit der Politiker, schrieb einmal der Philosoph Peter Sloterdijk, wird nur übertroffen durch die Ahnungslosigkeit ihres Publikums.|Schändlich gering schätzen wir die Akteure der Politik; die verbreitete Verachtung, die ihnen entgegenschlage, sei nichts als die Projektion der eigenen Ratlosigkeit, die wir angesichts der gesellschaftlichen Probleme empfinden würden.|Es bräuchte Titanen, die Krise zu überwinden."
"1770|2003-07-04|Zeitung|Berliner Zeitung, 04.07.2003|Es hätte sich zum Beispiel die Frage gestellt, ob die gesamte Organisation in Ost und West den Arbeitskampf tatsächlich mitträgt.|Und ob wir die Stimmungslage in Politik, Medien und Bevölkerung richtig erfasst haben.|Ich persönlich hatte nicht erwartet, dass sich die SPD als Regierungspartei so massiv in den Arbeitskampf einmischen wird."
"1771|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Veranstaltet von den so genannten Stallwächtern.|Der Begriff stammt aus einer Zeit, in der sich Politik zur Urlaubszeit auf den Routinebetrieb beschränkte.|Das ist lange her."
"1772|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Das einst gefürchtete Sommerloch, in dem angeblich nichts los war, ist nur noch eine blasse Erinnerung.|Heute, da Politik mehr inszeniert als gestaltet wird, kennzeichnen neue Begriffe das Geschehen.|Etwa das politische Sommertheater, das Sommerinterview und die Sommerreise."
"1773|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Dabei sind sie es selbst, die die Attraktivität des Parlamentarismus untergraben.|Wer die Prominenten der Politik schon im Frühstücksfernsehen erlebt, hat keine Lust mehr mitzuverfolgen, wie dieselben Argumente später im Plenum vorgetragen werden.|Parlamentsferien heißt nicht, dass sich die Parlamentarier zwei Monate von der Politik verabschieden."
"1774|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Wer die Prominenten der Politik schon im Frühstücksfernsehen erlebt, hat keine Lust mehr mitzuverfolgen, wie dieselben Argumente später im Plenum vorgetragen werden.|Parlamentsferien heißt nicht, dass sich die Parlamentarier zwei Monate von der Politik verabschieden.|Viele widmen sich der Arbeit in ihren Wahlkreisen."
"1775|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Der Multimillionär und Mitbegründer der Marseille Kliniken AG, Ulrich Marseille, ist am Freitag vom Landesvorsitz der Partei in Sachsen-Anhalt zurück getreten.|""Ich habe beruflich zu viel tun, das lässt mir auf Dauer keine Zeit für aktive Politik"", sagte der Unternehmer der Berliner Zeitung.|Marseille hatte 2002 den Aufbau des Landesverbandes maßgeblich finanziert und war als Spitzenkandidat des kurz zuvor in die Landtagswahl gezogen."
"1776|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Zwar sei es gelungen, das Horrorszenario einer dauerhaften Kürzung von 300 Millionen Euro bei den Hochschulen abzuwenden.|""Gleichwohl sind die Bedingungen für gestaltende Politik derart verengt worden, dass ich für mich keine Möglichkeit sehe, über die Aufstellung des Doppelhaushaltes 2004/2005 hinaus im Senat von Berlin mitzuwirken.""|Das ist seltsam, denn bei seinem Amtsantritt war der Gestaltungsspielraum nicht viel größer."
"1777|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Er trat an, mit der Überzeugung, dass ""Berlin nicht viel anderes als Wissenschaft und Kultur"" habe und man dafür etwas tun müsse.|Dass er kaum ""gestaltende Politik"" machen konnte, wusste er bereits damals:|Lediglich drei Prozent des Wissenschaftsetats von fast zwei Milliarden Euro waren frei verfügbar, alles andere an Verträge und gesetzliche Verpflichtungen gebunden."
"1778|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Ein weiterer Grund ist wohl sein eigener Politikanspruch.|Was Pasternack unter ""gestaltender Politik"" versteht, bedeutet mehr als die Rettung der einen oder anderen Institution.|Vor seinem theoretischen Hintergrund sind Universitäten Räume, in denen ""Gesellschaft sich selbst denkt"" - entlastet von einem unmittelbaren Verwertungsdruck."
"1779|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Politik: ""Zehn Prozent weniger Steuern"" von Bettina Vestring und Regine Zylka (30. Juni):|Die von Gerhard Schröder vollmundig als größte Steuerentlastung der Nachkriegszeit bezeichnete Entscheidung, die vierte Stufe der Steuerreform auf 2004 vorzuziehen, erweist sich als Mogelpackung: zehn Prozent weniger Steuern ergibt in meiner Situation eine Ersparnis von etwa 600 Euro im Jahr."
"1780|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Politik: ""Clements Arbeitsmarktreform steht"" von Regine Zylka (28./29. Juni):|Eine Gleichbehandlung von Arbeitslosen und Sozialhilfeempfängern?"
"1781|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Politik: ""Nullrunde und höhere Beiträge für Rentner"" von T. Szent-Ivany und R. Zylka (25. Juni):|Wie wär es denn damit: Nullrunde in den alten Bundesländern, aber einen Inflationsausgleich für die ehemaligen ""Ossis""?"
"1782|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Politik: ""12 Prozent weniger Gehalt"" von Tobias Miller (2. Juli):|SPD/PDS und Gewerkschaften müssen einen Karren aus dem Dreck ziehen, für den nicht alle Politiker der SPD verantwortlich gemacht werden können."
"1783|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Gleichzeitig ist das Thema stark emotional besetzt.|Die Politik muss deshalb darauf achten, dass die Ausbildungsleistung im Handwerk nicht gefährdet wird.|Die Steuerreform soll aus Privatisierungserlösen, Subventionsabbau und Neuverschuldung finanziert werden."
"1784|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Nein, das ist Konsens im Deutschen Industrie- und Handelskammertag.|Die Umsetzung scheitert bislang am Mut der Politik.|Die Firmen und Branchen sträuben sich nicht gegen die erheblichen Kürzungen?"
"1785|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Die IG Metall wird bitteres Lehrgeld bezahlen müssen, das ist schon so.|Mein Appell an die Gewerkschaften ist, eine kluge Politik zu machen und nicht zum falschen Zeitpunkt für ein falsches Ziel zu streiken.|Das Gespräch führte Tom Levine."
"1786|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Dieses Double wird - neben dem Titelhattrick von Michael Schumacher - für immer mit der Würdigung seiner Lebensleistung in Maranello verbunden bleiben.|Politik nach außen zu machen, darin ist er ein Meister.|Im Team hat er die Intrigenstränge, die Ferrari über zwei sieglose Jahrzehnte hinweg fesselten, gekappt."
"1787|2003-07-05|Zeitung|Berliner Zeitung, 05.07.2003|Opel-Vorstand Klaudia Martini hofft jetzt, dass ""zwischen der Entwicklung der Brennstoffzellen-Technik und dem Aufbau einer Wasserstoff-Wirtschaft keine zu große Lücke bleibt.|Hier muss auch die Politik schnellstens eindeutige Signale senden.""|Wenn alles klappt, könnte die Technik ab 2010 in Serie gehen."
"1788|2003-07-07|Zeitung|Berliner Zeitung, 07.07.2003|Jetzt will Ernährungsministerin Renate Künast eine Kampagne gegen zu fettige Lebensmittel starten.|Politik Seite 6|"
"1789|2003-07-07|Zeitung|Berliner Zeitung, 07.07.2003|Und die Union insgesamt?|Sie verliert jeden Ruf, ihre Politik am Interesse der Menschen und des Landes auszurichten.|Sie fällt zurück in die Rolle des Machterhalt- und -streitvereins."
"1790|2003-07-07|Zeitung|Berliner Zeitung, 07.07.2003|Die Erkenntnis, dass Putin dieses Versprechen nur bedingt einhalten kann, untergräbt seine Position.|Gleichzeitig verstärkt diese Situation noch die Sympathien der Russen für eine Politik der starken Hand.|Und eine andere starke Hand als Putin ist weit und breit nicht in Sicht."
"1791|2003-07-07|Zeitung|Berliner Zeitung, 07.07.2003|Die Gewerkschaft sonnte sich lange in dem Glauben, eine moderne, die gesellschaftliche Diskussion mitbestimmende Organisation zu sein, an deren Meinung nichts vorbeiführt.|Jetzt hat sie - und das auch noch in der Regierungszeit der von ihr unterstützten rot-grünen Koalition - auf äußerst schmerzhafte Art erfahren müssen, wie entbehrlich sie in der Politik sein kann, wie sehr sie selbst mittlerweile an den wirtschaftlichen Realitäten und an den Interessen der eigenen Mitglieder vorbei denkt und handelt.|In den Debatten um die unumgänglichen Reformen in den sozialen Sicherungssystemen, um die Wege zu mehr Beschäftigung hat sie sich selbst zum Image des Blockierers verholfen."
"1792|2003-07-07|Zeitung|Berliner Zeitung, 07.07.2003|Diese Unterschiede bilden ein ernstes Hindernis beim Zusammenwachsen der Union.|Berlusconi hat gezeigt, dass es eine Politik für einen gemeinsamen Humor geben muss, wenn es eine wirklich geeinte EU geben soll.|Die Europäische Kommission sollte sofort damit beginnen, eine harmonisierende Regelung zu erarbeiten, komplett mit einer Liste offiziell anerkannter Euro-Witze, einem Satz zu Mindeststandards für Heiterkeit und einem gesetzlichen Instrumentarium, um sie durchzusetzen."
"1793|2003-07-07|Zeitung|Berliner Zeitung, 07.07.2003|Michael Lentze, Leiter des Forschungsinstituts für Kinderernährung in Dortmund, fordert eine ""Bewegungsoffensive"".|""Die Politik muss den Schulsport verbessern und vor allem die Vereine fördern"", sagt er.|Für viele Forscher sind beim Kampf gegen eine übergewichtige Gesellschaft aber grundlegendere Schritte nötig."
"1794|2003-07-07|Zeitung|Berliner Zeitung, 07.07.2003|Doch wir sind auf dem besten Weg, das zu vermeiden.|Wird das nicht auch von der Politik der USA abhängen?|Die Amerikaner setzen auf eine Strategie der Ausgrenzung Irans."
"1795|2003-07-07|Zeitung|Berliner Zeitung, 07.07.2003|Thesen wie der nicht zu unterschätzende Einfluss des erstarkenden Chinas werden anhand unmittelbarer Erfahrung und detailliertem Wissen erörtert.|Eine klare Struktur, Landkarten, Fotomaterial, Historisches und Aktuelles geben einen guten Überblick über die Politik des zentralasiatischen Raumes - sehr lesenswert!|(Jeanette Tust)"
"1796|2003-07-07|Zeitung|Berliner Zeitung, 07.07.2003|Ich halte das aber für ein gutes Zeichen, auch nach außen, weil es das Stigma von der Stadt nimmt - nach dem Motto, Rot-Rot ist ganz furchtbar.|Es geht um pragmatische Politik, wer sie macht, ist zweitrangig.|Böse Zungen könnten jetzt sagen, das sagt der Alba-Vorstand nur, damit er kommunale Müllaufträge abfasst."
"1797|2003-07-08|Zeitung|Berliner Zeitung, 08.07.2003|Hier sitzt ein Profi.|Dafür lässt sie bei den Themen Steuer- und Gesundheitspolitik keinen Zweifel daran, dass sie die Politik der Regierung Bush für verhängnisvoll hält:|""Wir haben die Steuerlast von den Wohlhabenden auf die Mittelklasse verlagert und auf die Arbeiter."
"1798|2003-07-08|Zeitung|Berliner Zeitung, 08.07.2003|Ausgerechnet Edzard Reuter stimmt ein.|Es seien die fraulichen Talente, die in der Politik fehlten.|Es sei an der Zeit, dass sowohl in Deutschland als auch in Amerika endlich Frauen an die politische Spitze rückten."
"1799|2003-07-08|Zeitung|Berliner Zeitung, 08.07.2003|Was Amerika im Gegenzug gern sähe, wäre ein generelles Absenken des in Afrika vorhandenen Risiko-Potenzials.|Unter machtpolitischen Gesichtspunkten gehört es zu den Zielen amerikanischer Politik auch in Afrika, das Vordringen des Islam zu verhindern.|Wo US-Interessen negativ berührt sind, hört allerdings die Freundschaft auf."
"1800|2003-07-08|Zeitung|Berliner Zeitung, 08.07.2003|Die USA haben einen schnellen Krieg zu führen gewusst, sind aber nicht in der Lage, einen nachhaltigen Frieden zu gewährleisten.|Gebremst durch die gesunkene Popularität seiner Politik weigert sich US-Präsident Bush, mehr als die bereits stationierten 150000 Soldaten zu entsenden.|Somit wird der Druck auf die Europäer größer, dabei zu helfen, die schmutzigen Teller der schlechten US-Küche zu waschen."
"1801|2003-07-08|Zeitung|Berliner Zeitung, 08.07.2003|Doch kann jede Neuorganisation der sächsischen Museen nur mit den Kunstsammlungen, nicht aber gegen sie geschehen.|Es wäre nicht der erste museale Neuanfang, der seit der Wende in Dresden an der Grobheit der Politik scheiterte.|"
"1802|2003-07-08|Zeitung|Berliner Zeitung, 08.07.2003|Es ist dieselbe Generation, die an diesem Sonntag zum Rockkonzert in Moskau zog und dann zum Opfer oder Zeugen des schweren Sprengstoffanschlags wurde.|Auch darin liegt wohl der neuerliche Schock für sie: Glaubt man Mischukow, kommt Politik in ihren Lebensvorstellungen kaum vor.|Da ist vom Snowboardfahren, vom Cabrio, Reisen ins Ausland und einer schönen Ehefrau die Rede, auch mal vom Sichfinden in der Kunst."
"1803|2003-07-08|Zeitung|Berliner Zeitung, 08.07.2003|Da ist vom Snowboardfahren, vom Cabrio, Reisen ins Ausland und einer schönen Ehefrau die Rede, auch mal vom Sichfinden in der Kunst.|Die Begegnung mit einer aus falscher Politik geborenen realen Gewalt muss für die Mehrheit dieser Jugendlichen immer fremd bleiben, unerwartet.|Das zumindest legen die Porträts in der Kulturbrauerei nahe - und bestätigen Reisen nach Moskau."
"1804|2003-07-08|Zeitung|Berliner Zeitung, 08.07.2003|""Vielleicht kommen viele Raver in zehn Jahren als Tourist wieder und geben dann mehr Geld hier aus"", sagt er.|Und auch die Politik ist sich der Bedeutung des Parade bewusst: ""Dass es bei solchen Veranstaltungen auch mal Stagnation gibt, ist ganz klar"", sagt Brigitte Schmidt von der Wirtschaftsverwaltung.|""Die Love Parade ist weiterhin ein großes Plus für unser Image."""
"1805|2003-07-08|Zeitung|Berliner Zeitung, 08.07.2003|Sie fraternisierten mit dem ""rücksichtslosen Gegner"", dem Senat, und belasteten die, die sie eigentlich schützen sollten.|Man frage sich, woher die Verdi-Verhandler ""die Kraft und den Auftrag"" hergenommen haben, ""in unsere Brieftaschen zu fassen und den Marodeuren der Berliner Politik unser Geld zu geben""?|(tom.)"
"1806|2003-07-08|Zeitung|Berliner Zeitung, 08.07.2003|Mit 40 Jahren ist er ein sehr junger Vertreter unter den Missionschefs der Stadt.|Asynchrone Maschinen sind sein Spezialgebiet als Wissenschaftler, eine Vielzahl von unterschiedlichen Fachgebieten ist in Politik und Diplomatie hinzugekommen.|Der konservative Abgeordnete Rafajlovski stand dem makedonischen Energiekonzern vor, dann folgte der Ruf des Außenministeriums, Botschafter in Berlin zu werden."
"1807|2003-07-09|Zeitung|Berliner Zeitung, 09.07.2003|Vielleicht wird Schröder doch noch nach Amerika fahren.|Politik Seite 7, Feuilleton Seite 11|"
"1808|2003-07-09|Zeitung|Berliner Zeitung, 09.07.2003|Ich sage Nein. ""|Politik Seite 6|"
"1809|2003-07-09|Zeitung|Berliner Zeitung, 09.07.2003|Nach dem Sonderparteitag der PDS zeichnet sich bei den Sozialisten eine stärker reformorientierte Politik ab.|Der neue Parteivorstand billigte in einer Klausur im Grundsatz den Entwurf für ein modernes Programm."
"1810|2003-07-09|Zeitung|Berliner Zeitung, 09.07.2003|Doch während Amerika rätselt und fantasiert, hält sich der Star bewusst zurück.|Solange er die Welt bereist und seinen neuen Film ""Terminator 3"" bewirbt, soll Politik keine Rolle spielen.|Trotzdem lässt Schwarzenegger schon jetzt erahnen, welches rhetorische und politische Potenzial in ihm schlummert."
"1811|2003-07-09|Zeitung|Berliner Zeitung, 09.07.2003|Ihr fehlen ein politischer Kompass und der klare programmatische Gegenentwurf zur Bundesregierung.|Sie kann allenfalls deutlich machen, dass die Union für eine andere Politik steht.|Die Alternativen?"
"1812|2003-07-09|Zeitung|Berliner Zeitung, 09.07.2003|""Sonntag-Wolgast betonte,"" die repräsentative Demokratie wird durch Volksentscheide nicht ausgehebelt, sondern sinnvoll ergänzt "".|Zudem sei die Einführung von Plebisziten eine Möglichkeit der Politikverdrossenheit entgegenzuwirken und Menschen wieder für die Politik zu gewinnen.|""Die politische Teilhabe wird gestärkt"", sagte die Vorsitzende des Innenausschusses dieser Zeitung."
"1813|2003-07-09|Zeitung|Berliner Zeitung, 09.07.2003|Christoffers indes fühlt sich missverstanden:|Es sei nur um profilierte Frauen in der Politik im Allgemeinen diskutiert worden.|"
"1814|2003-07-09|Zeitung|Berliner Zeitung, 09.07.2003|BERLIN, 8. Juli.|Unternehmen sind in ihren Kalkulationen vielen Faktoren ausgesetzt, die sie wenig beeinflussen können: Konjunktur, Lohnentwicklung, Wechselkurse oder die Politik.|Von den Hauptrisiken bleibt jedoch nur eines, das nicht menschen-gemacht ist: das Wetter."
"1815|2003-07-09|Zeitung|Berliner Zeitung, 09.07.2003|Deutschland liege beim Preisniveau innerhalb Europas im unteren Drittel.|Köbele beklagte, die Politik sehe nicht mehr den Nutzen der Arzneimittel für die Patienten, sondern betrachte Medikamente nur als Kostenfaktor.|Hier müsse umgedacht werden."
"1816|2003-07-10|Zeitung|Berliner Zeitung, 10.07.2003|Können Sie dennoch die Empörung in Deutschland verstehen?|Schon, aber wir Deutschen hier in Italien hätten uns eine humorvollere Reaktion der Politik gewünscht.|Allein schon um das Vorurteil zu widerlegen, dass die Deutschen langweilig sind."
"1817|2003-07-10|Zeitung|Berliner Zeitung, 10.07.2003|Die Einstellung der militärischen Nutzung des einst von der Sowjetarmee okkupierten 142 Quadratkilometer großen Gebiets ist von den Bürgern der Region per Gerichtsbeschluss erzwungen worden.|Und so ist Strucks Bekanntmachung ein Affront gegen jene Bürgerinitiativen in Brandenburg und im benachbarten Mecklenburg, die die Politik erst zum Dialog gezwungen und viele Verbündete gewonnen haben.|Struck brüskiert aber auch den eigenen Bündnispartner:"
"1818|2003-07-10|Zeitung|Berliner Zeitung, 10.07.2003|Nicht zuletzt stellt auch der grüne Koalitionspartner der Bundesregierung den Bedarf an einem weiteren Übungsplatz für die Bundeswehr in Abrede.|Die Minister-Entscheidung zum ""Bombodrom"" beendet das unwürdige Hin und Her der Politik auf denkbar schlechteste Weise.|Denn sie stellt die Interessen der Region für ein fragwürdiges Projekt hinten an."
"1819|2003-07-10|Zeitung|Berliner Zeitung, 10.07.2003|Tokio galt als Vorreiter bei dem Versuch, die Generäle, die Burma seit ihrer Machtübernahme in den 50er-Jahren zu Grunde gerichtet haben, zu drängen, ihre brutale Unterdrückung der Opposition einzustellen.|Die deutsche Bundesregierung hatte dagegen seit Anfang des Jahres in der EU versucht, die Sanktionen, die von Großbritannien durchgesetzt worden waren, durch eine Politik der vorsichtigen Annäherung zu ersetzen.|Die Initiative wurde mit der Verhaftung von Aung San Suu Kyi sofort zu den Akten gelegt."
"1820|2003-07-10|Zeitung|Berliner Zeitung, 10.07.2003|Andere ärgern sich gerade über solche Entscheidungen.|Vor allem aber glaube ich, dass durch die neuen Institutionen - den mehrjährigen Ratspräsidenten, den gestärkten Präsidenten der Kommission und den neuen EU-Außenminister - die europäische Politik stärker personalisiert wird.|Europa bekommt Gesichter."
"1821|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|""Das ist viel zu früh.|So kann das nicht weitergehen"", habe sich Stoiber beschwert. (mit AFP) Politik Seite 5|"
"1822|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|(BLZ)|Seite 3, Kommentar Seite 4, Politik Seite 7|"
"1823|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|Aus der Affäre müsse man vielmehr lernen, die Verwaltungsvorschriften zu verschärfen, um mehr Transparenz und Kontrolle zu ermöglichen.|Leitartikel Seite 4, Politik Seite 6|"
"1824|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|Korruption in Deutschland - das ist nicht der gierige Polizeibeamte, der dem Verkehrssünder gegen ein Bakschisch das Bußgeld erlässt.|Vielmehr sind es die über Jahre und Jahrzehnte gewachsenen Beziehungen zwischen Politik, Wirtschaft und Verwaltung, es sind die Netzwerke, die sich inzwischen über alle Bereiche der Leistungsverwaltung (Bau- und Gartenbauämter, Ausländerbehörden, Kfz-Zulassungsstellen etc.) zu legen drohen, keine größere Investition der Bahn, kein Bau einer Autobahn, einer Kaserne, einer Schule ohne die hohe Wahrscheinlichkeit korruptiver Verstrickung.|Die vom Frankfurter Korruptionsexperten Wolfgang Schaupensteiner vor Jahren geäußerte Bemerkung war unter Fachleuten nie ernsthaft umstritten:"
"1825|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|Schöner lässt sich der gute Glaube an die Rechtstreue der Beamtenschaft in der Provinz kaum illustrieren.|Die Zurückhaltung, die die Politik im Kampf gegen die Korruption an den Tag legt, lässt sich natürlich begründen.|Würde sie Ernst machen, dann würden die Parteien riskieren, (nicht allein) auf kommunaler Ebene einen guten Teil ihrer einflussreichsten, also wichtigsten Vertreter an den Strafvollzug zu verlieren."
"1826|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|Dabei fand der Untersuchungsstab in fast allen Fällen Anhaltspunkte dafür, dass das Entsorgungsunternehmen Trienekens ""ein flächendeckendes Netzwerk der Einflussnahme auf politische Entscheidungsträger"" aufgebaut hatte.|Durch die verschleierte Verflechtung zwischen Politik und Privatwirtschaft sei ein Klima der Abhängigkeiten entstanden, ""das in weiten Teilen ein objektives und sachgerechtes Handeln der Kommunen ausschließt"".|Nach Einschätzung von Transparency ist nicht nur der Bereich Müllentsorgung durch solche Abhängigkeiten geprägt."
"1827|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|Die Fahrradbeförderung soll aber nicht mehr im Preis enthalten sein - dafür ist eine extra Zeitkarte nötig.|Zwei weitere Vorschläge gehen an die Adresse der Politik.|So sollen Jahreskarteninhaber Anwohner-Parkvignetten preiswerter erhalten."
"1828|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|Die Schülerinnen und Schüler aus den USA haben dazu eigentlich keinen Anlass, denn viele von ihnen wissen bis zu diesem Moment nicht, wie der deutsche Bundeskanzler überhaupt aussieht.|Und für welche Politik der Regierungschef steht, wissen sie schon gar nicht.|Aber der erste Eindruck zählt bekanntlich und Jonathan Moro, 17, aus der Abschlussklasse der Murry Bergtraum High-School zum Beispiel findet Schröder ""very nice""."
"1829|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|Ihr Reiseleiter ist Sam Blank von der New Yorker Schulbehörde.|Er war auch vor eineinhalb Jahren dabei und sagt, dass es damals mehr um Politik ging, um die Beziehungen zwischen den USA und Deutschland und um den 11. September.|Die Schüler damals, sagt Blank, besuchten Schulen unweit des World Trade Centers, wurden evakuiert, einige verloren Angehörige."
"1830|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|""Da verspricht man was, was nicht gehalten wird.|Das trägt nicht zur Glaubwürdigkeit der Politik bei. ""|"
"1831|2003-07-11|Zeitung|Berliner Zeitung, 11.07.2003|Der einstige Regierungssprecher unter Kanzler Helmut Kohl übernahm im Juni 2001 die Präsidentschaft des Klubs.|Mit seinen Verbindungen zu Politik und Wirtschaft verstand es Boenisch, die Tresore von potenziellen Partnern zu öffnen.|Anders als seine Vorgänger sieht er sich dabei nicht in der Rolle eines Bittstellers."
